from,to,date_from,date_to,place_from
William Abbot of Kyngeswodd,"Thomas Cromwell, Earl of Essex",15350909,15350909,Kingeswodde
"Thomas Thirlby, Bishop of Westminster and Ely",Sir John Boxall,15580930,15580930,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15150403,15150403,Paris
Geoffry Duckett,Company of Muscovy Merchants,15680812,15680812,Narva
John Plunket,"Conor O'Brien, Earl of Thomond",15640702,15640702,Dublin
Adrian de Croy,Sir John Wallop,15430402,15430402,Saint Omer
John Case,"Sir William Cecil, Lord Burghley",15710306,15710306,NA
"Thomas Howard,2nd Duke of Norfolk",Thos. Atclif,15231017,15231017,Newcastle-upon-Tyne
"James Stewart, Earl of Arran",Bailiffs of Edinburgh,15820920,15820920,Dunkeld
Count Edzard of East Friesland,Dietrich Sonoy,15860411,15860411,Aurich
High Commissioners,"Thomas Wriothesley, Earl of Southampton",15380211,15380211,Dublin
Queen Elizabeth I,Sir Francis Walsingham,15700815,15700815,NA
Sir Francis Walsingham,"Sir William Cecil, Lord Burghley",15710708,15710708,Paris
Sibbell Penne,"Thomas Cromwell, Earl of Essex",15390101,15391231,Hunsdon
Sir Henry Wallop,Sir Francis Walsingham,15810628,15810628,Dublin
Sir Richard Morysine,"Thomas Cromwell, Earl of Essex",15360101,15361231,NA
Sir Robert Gardener,Sir William Russell,15960120,15960120,Dundalk
Robert Dow,"Sir William Cecil, Lord Burghley",15720823,15720823,NA
Robert Ardern,"Robert Dudley, Earl of Leicester",15880301,15880301,NA
"James Hamilton, Earl of Arran, Duke of Chatelherault",King Philip II of Spain,15700701,15700731,NA
"Henry Norris, Baron Norris","Sir William Cecil, Lord Burghley",15701017,15701017,Paris
Sir Nicholas Throckmorton,Queen Elizabeth I,15610331,15610331,Paris
Sir Robert Napper,"Sir William Cecil, Lord Burghley",15951026,15951026,Dublin
Adam Loftus,Privy Council,15980722,15980722,Dublin
Henry VIII,"Anne Brooke, Lady Cobham",15330428,15330428,Greenwich
John Vydgian,Katherine Vydgian,16021011,16021011,NA
James V,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15400302,15400302,Edinburgh
