from,to,date_from,date_to,place_from
"Henry Algernon Percy, Earl of Northumberland","Thomas Cromwell, Earl of Essex",15360513,15360513,Newyngton Green
"Matthew Stewart, Earl of Lennox","Edward Seymour, Duke of Somerset, Lord Protector",15470916,15470916,Carlisle
Thomas Hall,"Thomas Cromwell, Earl of Essex",15331006,15331006,Huntingdon
John Colville,"Sir Robert Cecil, Earl of Salisbury",15990624,15990624,London
King Edward VI,Magistrates of Lucca,15510101,15511231,NA
Sir Hen. Saville,"Sir Robert Cecil, Earl of Salisbury",16010101,16011231,NA
"Robert Dudley, Earl of Leicester",Privy Council,15880724,15880724,NA
Sir Hugh Paulet,Sir William Winter (Wynter),15630720,15630720,NA
Lord Cobham,Queen Elizabeth I,15800301,15800301,NA
Charles de Marillac,"Francis I, King of France",15390812,15390812,NA
"Sir Robert Cecil, Earl of Salisbury",Sir Thomas Sherley,15910921,15910921,NA
"William Paulet, Marquess of Winchester",Sir William Herbert,15631214,15631214,NA
"Anne, Lady Cobham","Sir Robert Cecil, Earl of Salisbury",15990530,15990530,Durham Place
"Margaret Tudor, Queen consort of Scotland",Henry VIII,15370308,15370308,NA
Edmond Standen,"Sir Robert Cecil, Earl of Salisbury",16020226,16020226,NA
James V,Henry VIII,15371103,15371103,Stirling Castle
John Somers,"Sir William Cecil, Lord Burghley",15630209,15630209,Bonneval
Charles de Marillac,"Francis I, King of France",15410614,15410614,London
Queen's Tenant,"Sir William Cecil, Lord Burghley",15821112,15821112,Westmoreland
Robert Seall,Sir John Fortescue,15890101,16031231,NA
"Henry Norris, Baron Norris","Sir William Cecil, Lord Burghley",15700101,15701231,NA
Cardinal Girolamo Ghinucci,Cardinal Thomas Wolsey,15270131,15270131,Valladolid
Anthony Standen,"Sir William Cecil, Lord Burghley",15950101,15951231,NA
Charles Paget,"Mary, Queen of Scots",15850717,15850727,NA
Queen Elizabeth I,"Hen. de Bourbon, Prince de Dombes",15901217,15901217,NA
"George Talbot, 6th Earl of Shrewsbury","Sir William Cecil, Lord Burghley",15690521,15690521,Wingfield
"Mary, Queen of Scots",De l&#x0027;Aubespine-Chasteauneuf,15860701,15860731,NA
"William Paulet, Marquess of Winchester",Henry Fanshaw,15660106,15660106,NA
Adam Loftus,Sir Francis Walsingham,15890515,15890515,Drogheda
John Brigantyne,"Sir William Cecil, Lord Burghley",15601106,15601106,Emden
Thomas Stydolf,"Thomas Cromwell, Earl of Essex",15341010,15341010,NA
William Davison,"Robert Dudley, Earl of Leicester",15780212,15780212,Antwerp
Sir James Croft,"Sir William Cecil, Lord Burghley",15591110,15591110,Berwick
Sir Richard Jerningham,"Charles Brandon, Duke of Suffolk",15231002,15231002,Logrono
Thomas Flemynge,"Sir William Cecil, Lord Burghley",15950521,15950521,NA
"Robert Carey, Earl of Monmouth","Sir Robert Cecil, Earl of Salisbury",15970612,15970612,Berwick
"Henry IV, King of France","Jean De Thumery, Sieur De Boissize",16011201,16011211,NA
Anthoine Brusset,"Arthur Plantagenet, Lord Lisle",15380424,15380424,Greenwich
Sir Henry Killigrew,Queen Elizabeth I,15591115,15591115,NA
Sir William Fitzwilliam,Sir Edward Fitton,15740224,15740224,NA
Queen Elizabeth I,"Thomas Sackville, Baron Buckhurst, Earl of Dorset",15870410,15870410,NA
Cardinal Borghese,Robert Charnock,16000905,16000915,Rome
"George Goringe, Receiver of the Wards","Sir Robert Cecil, Earl of Salisbury",15960723,15960723,Court
Sir T. Palmer,"George Brooke, Baron Cobham",15291013,15501013,NA
Queen Elizabeth I,Sir Henry Wallop,15821112,15821112,NA
Sir Thomas Bodley,"Sir William Cecil, Lord Burghley",15910423,15910423,Hague
"Jean du Bellay, Bishop of Paris",Bailly of Troyes,15320320,15320320,La F&#x00E8;re
Pope Paul III,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15390102,15390102,Rome
"Thomas Boleyn, Earl of Wiltshire and Ormond",Henry VIII,15121012,15121012,Brussels
John Husee,"Honor Plantagenet, Lady Lisle",15390607,15390607,London
Donogh O'Connor Sligo,"Charles Blount, Baron Mountjoy and Earl of Devonshire",16000927,16000927,Sligo
Sir Horatio Palavicino,Sir Francis Walsingham,15870402,15870402,Frankfurt
Queen Mary I,"Edward Stanley, Earl of Derby",15571123,15571123,Court of St. James
Thomas Dabridgcourte,Privy Council,15870228,15870228,Longdon Hall
Brian Fitzwilliam,"Sir William Cecil, Lord Burghley",15880728,15880728,Denbigh
Edmund Harvel,"John Russell, Earl of Bedford",15450516,15450516,Venice
John Fitzwilliams,"Robert Dudley, Earl of Leicester",15710127,15710127,Antwerp
"Holy Roman Emperor Charles V, (King Charles I of Spain)",Mercurinus Gattinara,15210101,15211231,Brussels
"Patrick Gray, Lord Gray (Master of Gray)",Ambassador Archibald Douglas,15861021,15861021,NA
John &#x00C1;pinus,"Thomas Cromwell, Earl of Essex",15360423,15360423,Hamburg
Sir Thomas Scott,Sir Francis Walsingham,15840306,15840306,Scott's Hall
Queen Elizabeth I,Archduke Albert,16000311,16000311,NA
Company of Merchant Adventurers,"Thomas Cromwell, Earl of Essex",15360129,15360129,Bergen op Zoom
Thomas Phelippes,Thomas Fanshawe,15980209,15980209,NA
Thomas Harley,"Sir Robert Cecil, Earl of Salisbury",15970618,15970618,Clerkenwell
"Tobias Matthew, Archbishop of York","Sir Robert Cecil, Earl of Salisbury",16010123,16010123,NA
Ch&#x00E2;teaumartin,"Sir William Cecil, Lord Burghley",15950503,15950513,NA
"Thomas Knyvett, Baron Knyvett",Sir Francis Walsingham,15870903,15870903,Brill
John Popham,"Sir Robert Cecil, Earl of Salisbury",16020521,16020521,"Serjeant's Inn, Fleet Street"
Commons of Galway,Sir Edward Bellingham,15480611,15480611,Galway
Henry Bird,Lady Waterhouse,15860914,15860914,Dublin Castle
"Anne Rouaud, Madame du Bours","Honor Plantagenet, Lady Lisle",15370117,15370117,Abbeville
Sir Edward Carne,"William Paget, Lord Paget",15460613,15460613,Brussels
Margaret,Henry VIII,15190101,15191231,Mechlin
William Byrd,"Sir William Cecil, Lord Burghley",15801214,15801214,Chester
Sir Henry Wallop,Sir Francis Walsingham,15840603,15840603,NA
Sir Francis Walsingham,Duke John Casimir of the Palatinate,15780715,15780715,NA
"Ferdinando I De' Medici, Grand Duke of Tuscany","Sir William Cecil, Lord Burghley",15960918,15960918,NA
"William Blount, Baron Mountjoy",Cardinal Thomas Wolsey,15160305,15160305,Tournay
Charles de Marillac,"Francis I, King of France",15411012,15411012,London
John Bateman,"Sir William Cecil, Lord Burghley",15710817,15710817,Sheffield
Henry Norris (Norreys),William Davison,15851010,15851010,Brill
Privy Council,Queen Elizabeth I,15721207,15721207,NA
Sir Anthony Browne,Marquis of Northampton,15430925,15430925,Darlington
Thomas Bellott,"Sir Robert Cecil, Earl of Salisbury",15970817,15970817,Weymouth
Sir Nicholas Throckmorton,"Edward Fiennes de Clinton, Earl of Lincoln",15620804,15620804,Paris
James V,Cardinals,15150703,15150703,Edinburgh
"William Thornton or Dent, Abbot of St. Mary, York",Dr. Bellasis,15350519,15350519,Myton
"Richard Rich, Baron Rich",Privy Council,15510829,15510829,Windsor
Sir Ralph Fane,Sir John Thynne,15481230,15481230,NA
John Redyng,Prior and Convent of Redyng,15350426,15350426,Leominster
"Peregrine Bertie, Baron Willoughby of Eresby","Sir Robert Cecil, Earl of Salisbury",16010330,16010330,NA
Sir William Harvye,"Sir Robert Cecil, Earl of Salisbury",16030503,16030503,Savoy
N. Stopio,Benedetto Spinola,15650210,15650210,NA
Privy Council,John Mason,15510430,15510430,Greenwich
William Herle,"Sir William Cecil, Lord Burghley",15760308,15760308,Redcross Street
Privy Council,"Sir Stephen Soame, Lord Mayor",15990101,15991231,NA
John Colville,Henry Lok,15940729,15940729,NA
Richard Carmarden,"Sir William Cecil, Lord Burghley",15910405,15910405,NA
Desiderius Erasmus,William Latimer,15170605,15170605,NA
Thomas Phelippes,Thomas Barnes,15890423,15890503,NA
Daniel Rogers,Sir Francis Walsingham,15771107,15771107,Neustadt
"Edmund Bonner, Bishop of London","Thomas Cromwell, Earl of Essex",15360222,15360222,Hamburg
Darby O'Shaughnessy,Queen Elizabeth I,15620531,15620531,NA
Citizens of Chester,Privy Council,15811008,15811008,NA
William Damsell,Privy Council,15460930,15460930,NA
Sir Hugh Paulet,Privy Council,15630502,15630502,Havre de Grace
Commissioners,"Sir Robert Cecil, Earl of Salisbury",16000712,16000712,NA
Sir Thomas Smith,Sir James Croft,15720321,15720321,Blois
"Henry Clinton, Earl of Lincoln","Sir Robert Cecil, Earl of Salisbury",15961009,15961009,Channon Row
Privy Council,Wymounde Carewe,15430727,15430727,Hampton Court
Sir Francis Walsingham,"Sir William Cecil, Lord Burghley",15861206,15861206,Barn Elms
Francis Hastings,"Robert Devereux, Earl of Essex",16001103,16001103,Holwall
Henry Lello,"Sir Robert Cecil, Earl of Salisbury",16000329,16000329,NA
"Francis Martin, Mayor of Galway",Sir Richard Bingham,15920608,15920608,Galway
William Damsell,Privy Council,15460929,15460929,Antwerp
John Colville,Sir Francis Walsingham,15830514,15830514,London
Henry VIII,Officers of Customs,15420101,15421231,NA
"George Boleyn, Viscount Rochford","Thomas Howard, Duke of Norfolk",15341111,15341111,Dover
"Thomas Wharton, Lord Wharton","Edward Seymour, Duke of Somerset, Lord Protector",15470321,15470321,Edenhall
"Thomas Howard, Viscount Bindon","Sir Robert Cecil, Earl of Salisbury",16020101,16021231,NA
Solomon Aldred,Sir Francis Walsingham,15860327,15860406,Rouen
"Christopher Nugent, Baron Delvin",Queen Elizabeth I,15970301,15970331,NA
Robert Wingfield,Henry VIII,15150414,15150414,Augsburg
Richard Coger,Edward Milles,15970101,15981231,NA
John Hutton,"Thomas Cromwell, Earl of Essex",15361009,15361009,Rouen
Sir Robert Osberne,Edward Reynoldes (Reynolds),15990721,15990721,NA
Privy Council,"Charles Brandon, Duke of Suffolk",15440121,15440121,NA
Sir George Bingham,Sir Richard Bingham,15930525,15930525,Ballymote
"Robert Dudley, Earl of Leicester",Viscount Hereford,15740330,15740330,NA
Sir Edward Carne,"William Paget, Lord Paget",15460815,15460815,Brussels
Charles de Marillac,"Anne de Montmorency, Duc de Montmorency",15400221,15400221,London
Sir William Drury,"Sir William Cecil, Lord Burghley",15670214,15670214,Berwick
John Fysscher,Sir Richard Long,15430809,15430809,Guernsey
Sir Henry Wallop,Sir Francis Walsingham,15820227,15820227,Dublin
"Henry Algernon Percy, Earl of Northumberland","Thomas Cromwell, Earl of Essex",15360321,15360321,New Windsor
Privy Council,Commissioners in certain shires,15850101,15851231,NA
"William Paulet, Marquess of Winchester",John Swifte,15620515,15620515,NA
"Francis Talbot, Earl of Shrewsbury",John Scudamore,15420915,15420915,Sheffield Lodge
Sir Richard Wingfield,Cardinal Thomas Wolsey,15130113,15130113,Calais
Fran&#x00E7;ois Perrot de Mezi&#x00E9;res,Sir Francis Walsingham,15840620,15840630,Bievre
"Hugh O'Neill, Earl of Tyrone",Geoffrey Fenton,15970417,15970417,Dungannon
John Dexter,"Sir William Cecil, Lord Burghley",15940101,15941231,NA
"Mary, Queen of Scots","Sir William Cecil, Lord Burghley",15670601,15670601,Edinburgh
"William Parr, Baron Parr of Horton","Thomas Cromwell, Earl of Essex",15370809,15370809,Sleaford
Sir William Drury,"Sir William Cecil, Lord Burghley",15790330,15790330,Limerick
Jacopo Antonio Gromo,Lord Cobham,15620807,15620807,Dunkirk
"William, Lord Dacre","Thomas Cromwell, Earl of Essex",15380316,15380316,Kirkoswald
"William Paget, Lord Paget",Mr. Jaskyns,15461013,15461013,Windsor
"James Hamilton, Earl of Arran, Duke of Chatelherault","Charles IX, King of France",15710907,15710907,NA
"Thomas Howard, 4th Duke of Norfolk","Sir William Cecil, Lord Burghley",15600208,15600208,NA
Sir William Petre,"William Paget, Lord Paget",15450704,15450704,Bourbourg
Christopher Mont (Mundt),"Sir William Cecil, Lord Burghley",15631228,15631228,NA
Owen Salisbury,Sir Francis Walsingham,15891117,15891117,NA
Edward Cook,"Sir William Cecil, Lord Burghley",15660621,15660621,Paris
Queen Elizabeth I,King James VI,15941201,15941231,NA
Sir John Wallop,"Edward Seymour, Duke of Somerset, Lord Protector",15470408,15470408,Guisnes
Sir T. Palmer,"Edward Seymour, Duke of Somerset, Lord Protector",15480703,15480703,Berwick
Privy Council,Henry VIII,15200101,15201231,NA
"Edward Courtenay, Earl of Devon",John Mason,15560530,15560530,NA
Sir Richard Bingham,Sir William Fitzwilliam,15881010,15881010,NA
"Charles Brandon, Duke of Suffolk",Privy Council,15430714,15430714,Darlington
Richard Wharton,"Thomas Cromwell, Earl of Essex",15371114,15371114,NA
Sir Henry Killigrew,Sir Francis Walsingham,15750819,15750819,Berwick
Sebastian De Pastrona,Juan De Pastrona,15990805,15990815,Murcia
Sir John Byron and Others,"Sir Robert Cecil, Earl of Salisbury",16010426,16010426,Newstead
Lord Borrough.,"Sir William Cecil, Lord Burghley",15950720,15950720,NA
Samuel Proudlove,Mr. Bradshaw,15970101,16101231,NA
"John Piers, Archbishop of York","Sir William Cecil, Lord Burghley",15930101,15931231,NA
Sir William Winter (Wynter),"Sir William Cecil, Lord Burghley",15610611,15610611,London
"Nicholas Ball, Mayor of Dublin","Sir William Cecil, Lord Burghley",15830927,15830927,Dublin
"Thomas Heritage, Priest","Thomas Cromwell, Earl of Essex",15310101,15311231,NA
John Harpur,Willson,15900731,15900731,NA
Privy Council,"Francis Talbot, Earl of Shrewsbury",15450122,15450122,Baynard's Castle
Margaret,Henry VIII,15290101,15290101,Mechlin
"Rodrigo Ni&#x00F1;o, Imperial ambassador at Venice","Holy Roman Emperor Charles V, (King Charles I of Spain)",15300512,15300512,Venice
George Frendsberg,"Ferdinand I, Holy Roman Emperor",15250224,15250224,NA
Sir Henry Killigrew,"Sir William Cecil, Lord Burghley",15880206,15880206,Hague
James Golde,Sir Nicholas Malby,15830414,15830414,Clonmel
Francisco Giraldez,Gourdain,15800119,15800119,Paris
Richard Clough,Sir Thomas Gresham,15670914,15670914,Antwerp
James Fullerton,George Nicholson,15950630,15950630,Ayr
Charles de Lanoy,Margaret,15260117,15260117,Lodi
"Thomas Wriothesley, Earl of Southampton",Christopher Mont (Mundt),15440408,15440408,London
Sir Carew Ralegh,Thomas Revell and George Owens,15911026,15911026,NA
Henry Lello,"Sir Robert Cecil, Earl of Salisbury",16010912,16010912,NA
Lord General Sir John Norreys,Sir Francis Walsingham,15820824,15820824,Ghent
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15340721,15340721,Rome
John Ricroft,"Sir Robert Cecil, Earl of Salisbury",15910801,15910831,NA
Sir John Daunce,Cardinal Thomas Wolsey,15290612,15290612,London
"John Hotham, Sheriff of Yorkshire",Sir Walter Mildmay,15830411,15830411,NA
"Sir Robert Cecil, Earl of Salisbury","William Wickham, Bishop of Winchester",15941220,15941220,NA
John Abington,"Sir William Cecil, Lord Burghley",15801018,15801018,Bristol
Captains in Ireland,Privy Council,15980518,15980518,NA
Anthony Low,"Sir William Cecil, Lord Burghley",15811206,15811206,NA
Sir John Wallop,Privy Council,15420808,15420808,Guisnes
Poillot,"Francis I, King of France",15211016,15211016,Calais
Robert Bowes,Laird of Buchanan,15800510,15800516,Edinburgh
Queen Elizabeth I,Princess Catherine de Bourbon,15960121,15960121,NA
Sir Richard Bingham,Sir William Fitzwilliam,15930623,15930624,Roscommon
Pietro Bizari,"Sir William Cecil, Lord Burghley",15650801,15650801,Venice
Pope Julius II,Henry VIII,15120313,15120313,Rome
"Gerald Fitzgerald, earl of Desmond",Privy Council,15690615,15690615,The Tower
William Barnes,"Thomas Wriothesley, Earl of Southampton",15380612,15380612,Beaulieu
"Robert Sidney, Earl of Leicester","Sir William Cecil, Lord Burghley",15951013,15951013,NA
Dr. Richard Master,"Sir William Cecil, Lord Burghley",15740307,15740307,NA
"John Stewart (Stuart), Duke of Albany","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15220908,15220908,Annan
Sir Thomas Morgan,"Sir William Cecil, Lord Burghley",15920703,15920703,Bergen op Zoom
"Charles Blount, Baron Mountjoy and Earl of Devonshire",Privy Council,16000312,16000312,Dublin
Claude Le Breton,Sir Francis Walsingham,15840814,15840814,NA
"Ambrose Dudley, Earl of Warwick","Sir Robert Cecil, Earl of Salisbury",16010116,16010116,NA
"Antony de Castelnau, Bishop of Tarbes","Anne de Montmorency, Duc de Montmorency",15381206,15381206,Toledo
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15750413,15750413,Dublin Castle
Edward Wilkinson,Brian Stapleton,15851222,15860112,NA
Robert Bowes,"Sir William Cecil, Lord Burghley",15940817,15940817,Edinburgh
Charles Dunn,"Sir William Cecil, Lord Burghley",15970101,15971231,NA
Gerard Gifford (Giffard),Thomas Phelippes,15881227,15881227,Chelynton
John Cobham,Sir Francis Walsingham,15820805,15820805,Dunkirk
Rich. Williams,"Henry Brooke, Baron Cobham",16010101,16011231,NA
Sir Francis Walsingham,Sir Thomas Smith,15721222,15721222,Paris
George Goodman,Sir Richard Bingham,15960720,15960720,Athlone
Queen Elizabeth I,Thomas Randolph,15770318,15770318,Greenwich
Queen Elizabeth I,"George, Count of Helfenstein",15590101,15591231,NA
Sir Thomas Leighton,"Sir Robert Cecil, Earl of Salisbury",15990825,15990825,Guernsey
Sir Edward Denny,"Sir William Cecil, Lord Burghley",15961005,15961005,NA
Sir Thomas Smith,"Sir William Cecil, Lord Burghley",15711215,15711215,Calais
"Cardinal Reginald Pole, Archbishop of Canterbury",Cardinal Alessandro Farnese,15390815,15390815,Carpentras
Robert Clerke,"Henry Fanshawe, Queen's Remembrancer",16010805,16010805,NA
"Francis Russell, Earl of Bedford","Sir William Cecil, Lord Burghley",15650130,15650130,Berwick
"Thomas Jones, Bishop of Meath",Privy Council,15930213,15930213,Dublin
Leo. X,Ferdinand II of Aragon,15140904,15140904,Rome
John Colville,S. [Mr. Bowes],15950508,15950508,NA
Cardinal Thomas Wolsey,"Thomas Boleyn, Earl of Wiltshire and Ormond",15280101,15281231,NA
Council of War,Sir Walter Ralegh,15960101,15961231,The Repulse
"Richard Sampson, Bishop of Coventry and Lichfield",Cardinal Thomas Wolsey,15240523,15240523,Burgos
Richard Orfevre,Robert Penruddocke,15590101,16011231,NA
John Smith (Smyth),"Arthur Plantagenet, Lord Lisle",15350323,15350324,London
Isabel Countess of Rutland,"Gilbert Talbot, Earl of Shrewsbury",15930625,15930625,Stepney
"John Stewart (Stuart), Duke of Albany","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15220910,15220910,Solame chapel
William Spyser,"Sir William Cecil, Lord Burghley",15841005,15841005,Portsmouth
Robert Bowes,"Sir William Cecil, Lord Burghley",15920327,15920327,Barnes
Bishop Tunstall,Cardinal Thomas Wolsey,15160723,15160723,Brussels
Sir Francis Walsingham,"Sir William Cecil, Lord Burghley",15721101,15721101,Paris
"Michel de Castelnau, Sieur de Mauvissiere","Charles Howard, Baron Howard of Effingham, Earl of Nottingham",15850504,15850514,London
Sir Thomas Gresham,"Sir William Cecil, Lord Burghley",15651128,15651128,Osterley
Richard Fiennes,"Sir William Cecil, Lord Burghley",15880523,15880523,NA
"Michel de Castelnau, Sieur de Mauvissiere",Sir Francis Walsingham,15830228,15830310,London
"George Gordon, 5th Earl of Huntly",Queen Elizabeth I,15700910,15700915,NA
Sir Henry Winston,"Sir William Cecil, Lord Burghley",15970705,15970705,Standish
Queen Elizabeth I,Barons of Yorkshire,15620618,15620618,NA
"Matthew Stewart, Earl of Lennox",Queen Elizabeth I,15710727,15710727,Leith
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15610504,15610504,Paris
"Jehan des Gardins, Priest","Master Hyghfelg, Man-at-arms at Calais",15361128,15361128,NA
William Davison,"Sir William Cecil, Lord Burghley",15780802,15780802,NA
"Thomas Butler, earl of Ormond",Sir Henry Wallop,15830615,15830615,Kilkenny
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15360123,15360123,Rome
John Blytheman,"Sir Robert Cecil, Earl of Salisbury",15990727,15990727,Plymouth
Henry Townshend,"Edward Stafford, Lord Stafford",16010804,16010804,Bridgenorth
Sir Robert Crosse,"Sir Robert Cecil, Earl of Salisbury",15980130,15980130,Dover
W. S.,Edward Eperton,15890205,15890205,Italy
Joachim Hochsteter,Cardinal Thomas Wolsey,15280101,15281231,NA
Sir Walter Mildmay,Thomas Fanshawe,15771120,15771120,NA
"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",Thomas Fanshawe,15900101,15901231,NA
John Uvedale,"Robert Devereux, Earl of Essex",15980320,15980320,Brampton
John Johnson,"Sir William Cecil, Lord Burghley",15830101,15831231,NA
Thomas Champneys,"Sir William Cecil, Lord Burghley",15661013,15661013,Naples
Brian Jonys Constable of Carlow,Sir Edward Bellingham,15480101,15481231,NA
Thomas Morgan,"Mary, Queen of Scots",15850330,15850330,Paris
Sir Edward North,John Williams,15460420,15460420,NA
Privy Council,"Matthew Stewart, Earl of Lennox",15440823,15440823,NA
Queen Mary I,"Henry Neville, Lord Abergavenny",15580110,15580110,NA
Christopher Hales,"Thomas Cromwell, Earl of Essex",15321210,15321210,Gray's Inn
Queen Elizabeth I,"Henri de Bourbon, Duke of Montpensier",16020401,16020430,NA
Sebastian Giustinian,"Leonardo Loredan, Doge of Venice",15180910,15180910,Lambeth
William Gonson,"Arthur Plantagenet, Lord Lisle",15370627,15370627,London
Dietrich Sonoy,Sir Francis Walsingham,15880509,15880519,Medemblik
John Knox,Sir Ralph Sadler,15591231,15591231,NA
Bishop Tunstall,Cardinal Thomas Wolsey,15170827,15170827,Middelburg
Sir Thomas Wyatt (the elder),"Thomas Cromwell, Earl of Essex",15390203,15390203,Brussels
Queen Elizabeth I,Nicholas Wotton,15590526,15590526,NA
Sir Thomas Gresham,"Sir William Cecil, Lord Burghley",15671031,15671031,Gresham House
Lord Cobham,Sir Francis Walsingham,15830727,15830727,Paris
Edward Stafford,"Sir William Cecil, Lord Burghley",15900828,15900828,NA
"Conn Bacach O'Neill, Earl of Tyrone",Henry VIII,15411201,15411231,NA
"John Coke, Secretary of the Merchants Adventurers","Thomas Cromwell, Earl of Essex",15330908,15330908,Antwerp
William Fitzwilliam,"Sir Robert Cecil, Earl of Salisbury",15990222,15990222,NA
Sir Ralph Winwood,Hen. Nevill,16000803,16000803,NA
William Davison,Sir Francis Walsingham,15790125,15790125,Antwerp
"Robert Devereux, Earl of Essex","David Holland, High Sheriff of Denbigh",15960401,15960430,NA
"George Carew, Earl of Totnes","Sir Robert Cecil, Earl of Salisbury",16000827,16000827,Cork
Count Edzard of East Friesland,"Sir William Cecil, Lord Burghley",15900101,15901231,NA
John Man,"Sir William Cecil, Lord Burghley",15680119,15680119,Madrid
Edward Halsall,Thomas Dutton,15910811,15910811,Halsall
"Mary, Queen of Scots",Queen Elizabeth I,15680826,15680826,Bolton Castle
"Michel de Castelnau, Sieur de Mauvissiere","Robert Dudley, Earl of Leicester",15841219,15841229,London
"Thomas Egerton, Viscount Brackley","Sir William Cecil, Lord Burghley",15930101,15931231,NA
"William FitzWilliam, 1st Earl of Southampton",Henry VIII,15410504,15410504,Dover
George Gilpin,"Sir William Cecil, Lord Burghley",15930717,15930717,Hague
Monsieur Le Croc,"Sir William Cecil, Lord Burghley",15720604,15720604,Leith
Sir Francis Godolphin,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",16021008,16021008,Tavistock
Sir William Russell,Privy Council,15961122,15961122,Camp at Tullagh
Thomas Morgan,Gilbert Gifford (Giffard),15860703,15860703,NA
Queen Elizabeth I,"Francis Russell, Earl of Bedford",15650410,15650410,NA
"Margaret Tudor, Queen consort of Scotland","Thomas Cromwell, Earl of Essex",15380307,15380307,Edinburgh
"Robert Devereux, Earl of Essex","Henri de la Tour d&#x0027;Auvergne, (Duke of Bouillon)",15950408,15950408,London
"Henry Norris, Baron Norris",Sir Francis Walsingham,15891014,15891014,Ricot
Queen Mary I,King Philip II of Spain,15540101,15541231,NA
John Hackett,"Arthur Plantagenet, Lord Lisle",15330714,15330714,Brussels
Captain W. Monoux,"Sir Robert Cecil, Earl of Salisbury",16011001,16011031,NA
Sir Thomas Chaloner (Challoner),Queen Elizabeth I,15640618,15640618,NA
Sir Francis Stafford,Sir George Carey,16010909,16010909,Newry
William Watson,Privy Council,15460205,15460205,Amsterdam
"Sir William Cecil, Lord Burghley",William Herle,15850824,15850824,NA
Lord Borrough.,"Robert Devereux, Earl of Essex",15951205,15951205,Brill
Nicholas Wotton,"William Paget, Lord Paget",15461223,15461223,Compi&#x00E8;gne
Sir Henry Wallop,Sir Francis Walsingham,15811120,15811120,Dublin
Robert Aske,"Thomas Darcy, Baron Darcy of Darcy",15361122,15361122,York
Sir Richard Wingfield,Cardinal Thomas Wolsey,15211203,15211203,Oudenarde
Geoffrey Fenton,"Sir Robert Cecil, Earl of Salisbury",16010715,16010715,Dublin
Bishop Tunstall,Privy Council,15430515,15430515,Darlington
Cardinal Thomas Wolsey,Sir Gregory Casale,15271206,15271206,London
Richard Strete,"Thomas Cromwell, Earl of Essex",15360512,15360512,Lichfield
"Thos. Goldwell, prior of Christchurch, Canterbury","Thomas Cromwell, Earl of Essex",15360102,15360102,Canterbury
Sir Francis Walsingham,Commissioners for Dover Haven,15840611,15840611,NA
Sir William Gerard,Sir Francis Walsingham,15790304,15790304,Dublin
John Arden,Queen Elizabeth I,15930413,15930423,NA
Robert Huggins,Sir Thomas Chaloner (Challoner),15620826,15620826,Evese
"Ambrose Dudley, Earl of Warwick",Doctor David Lewes,15831014,15831014,The Court
Thomas Watton,Queen Elizabeth I,15830101,15831231,NA
Sir Francis Walsingham,Sir Owen Hopton,15850523,15850523,NA
"Elizabeth Talbot, Lady Dacre","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15280602,15280602,Naworth Castle
Queen Elizabeth I,"William Grey, Baron Grey of Wilton",15620705,15620705,NA
Roger Wilbraham,"Sir William Cecil, Lord Burghley",15950814,15950814,Dublin
Sir Thomas Heneage,Thomas Fanshawe,15700406,15700406,NA
"Francis Bacon, Viscount St. Alban","Sir William Cecil, Lord Burghley",15800101,15981231,NA
John Spencer,Robert Kirkeham,15870217,15870217,NA
"Thomas Poynings, Baron Poynings","George Brooke, Baron Cobham",15450811,15450811,Boulogne
Sir Nicholas Malby,"Sir William Cecil, Lord Burghley",15821203,15821203,Athlone
Francis Lovell,Sir Francis Walsingham,15841112,15841115,Athlone
"Sir William Brereton, Lord Justice of Ireland","Thomas Cromwell, Earl of Essex",15400517,15400517,Trim
"Sir Robert Cecil, Earl of Salisbury",University of Cambridge Senate,16010224,16010224,York Place
Sir Hugh Magennis,Sir Henry Sidney,15751015,15751015,Knockfergus
"Thevenyn, Captain of Rochelle",R. Lema&#x00E7;on alias la Fontaine,15950826,15950905,La Rochelle
"William FitzWilliam, 1st Earl of Southampton","Thomas Cromwell, Earl of Essex",15380101,15381231,NA
"William, Lord Compton","Sir Robert Cecil, Earl of Salisbury",15960415,15960415,Dover
"Mary, Queen of Scots",Doctor Allen Cope,15770803,15770803,Sheffield Castle
Sir Thomas Chaloner (Challoner),"Sir William Cecil, Lord Burghley",15620419,15620419,Madrid
"Thomas Reding, Prior, and Nic. Acton, Cellarer, of Kingswood","Thomas Cromwell, Earl of Essex",15350919,15350919,Kingeswodde
Sir Henry Unton,"Sir William Cecil, Lord Burghley",15911204,15911204,Rouen
William Lumbarde of Waterford,"Sir William Cecil, Lord Burghley",15890417,15890417,NA
Sir Clement West,"Thomas Cromwell, Earl of Essex",15380710,15380710,Malta
